"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.049,0.027,0.069,0.952
"2","age_group3 to 12 Years",-0.056,0.03,0.064,0.946
"3","age_group13 to 18 Years",-0.059,0.039,0.129,0.943
"4","age_group65 to 84 Years",-0.029,0.012,0.02,0.972
"5","age_group85 and Over",-0.021,0.02,0.301,0.979
"6","genderm",0.045,0.011,0,1.046
"7","key_sourceblood",-0.122,0.017,0,0.885
"8","key_sourcegastro",0.001,0.025,0.968,1.001
"9","key_sourcerespiratory",0.138,0.021,0,1.148
"10","key_sourceurine",0.059,0.017,0,1.061
"11","key_sourcewound",0.086,0.019,0,1.09
"12","year_scaled",0.023,0.001,0,1.023
