"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.165,0.027,0,0.848
"2","age_group3 to 12 Years",-0.119,0.032,0,0.888
"3","age_group13 to 18 Years",-0.156,0.04,0,0.855
"4","age_group65 to 84 Years",0.002,0.012,0.884,1.002
"5","age_group85 and Over",-0.049,0.02,0.017,0.953
"6","genderm",0.143,0.011,0,1.153
"7","key_sourceblood",-0.166,0.017,0,0.847
"8","key_sourcegastro",-0.033,0.025,0.179,0.967
"9","key_sourcerespiratory",0.256,0.021,0,1.292
"10","key_sourceurine",0.037,0.017,0.032,1.037
"11","key_sourcewound",0.11,0.02,0,1.116
"12","year_scaled",-0.036,0.001,0,0.965
