"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.013,0.054,0.804,1.014
"2","age_group3 to 12 Years",0.13,0.053,0.014,1.139
"3","age_group13 to 18 Years",0.052,0.07,0.458,1.053
"4","age_group65 to 84 Years",0.087,0.022,0,1.091
"5","age_group85 and Over",0.117,0.038,0.002,1.124
"6","genderm",0.038,0.02,0.062,1.038
"7","key_sourceblood",-0.1,0.042,0.017,0.905
"8","key_sourcegastro",-0.241,0.062,0,0.785
"9","key_sourcerespiratory",-0.18,0.033,0,0.835
"10","key_sourceurine",-0.118,0.041,0.005,0.889
"11","key_sourcewound",-0.226,0.037,0,0.798
"12","year_scaled",-0.616,0.004,0,0.54
