"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.212,0.025,0,0.809
"2","age_group3 to 12 Years",-0.229,0.025,0,0.795
"3","age_group13 to 18 Years",-0.208,0.031,0,0.812
"4","age_group65 to 84 Years",0.207,0.013,0,1.23
"5","age_group85 and Over",0.403,0.023,0,1.497
"6","genderm",0.086,0.011,0,1.09
"7","key_sourceblood",-0.081,0.02,0,0.922
"8","key_sourcegastro",0.127,0.027,0,1.136
"9","key_sourcerespiratory",0.374,0.018,0,1.454
"10","key_sourceurine",0.342,0.034,0,1.408
"11","key_sourcewound",0.28,0.017,0,1.323
"12","year_scaled",0.029,0.002,0,1.03
