"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.092,0.053,0.082,0.912
"2","age_group3 to 12 Years",-0.231,0.065,0,0.794
"3","age_group13 to 18 Years",-0.076,0.082,0.355,0.927
"4","age_group65 to 84 Years",-0.067,0.025,0.006,0.935
"5","age_group85 and Over",-0.203,0.041,0,0.816
"6","genderm",0.169,0.023,0,1.184
"7","key_sourceblood",0.033,0.036,0.356,1.034
"8","key_sourcegastro",-0.031,0.052,0.55,0.969
"9","key_sourcerespiratory",0.33,0.046,0,1.391
"10","key_sourceurine",0.224,0.037,0,1.251
"11","key_sourcewound",0.142,0.043,0.001,1.153
"12","year_scaled",-0.294,0.01,0,0.745
