"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.177,0.049,0,1.193
"2","age_group3 to 12 Years",-0.005,0.081,0.952,0.995
"3","age_group13 to 18 Years",-0.072,0.099,0.468,0.931
"4","age_group65 to 84 Years",-0.02,0.026,0.438,0.98
"5","age_group85 and Over",-0.282,0.046,0,0.754
"6","genderm",0.21,0.024,0,1.234
"7","key_sourceblood",0.137,0.045,0.003,1.147
"8","key_sourcegastro",0.177,0.07,0.012,1.193
"9","key_sourcerespiratory",0.069,0.045,0.125,1.071
"10","key_sourceurine",0.101,0.047,0.033,1.106
"11","key_sourcewound",0.163,0.052,0.002,1.177
"12","year_scaled",-0.389,0.011,0,0.677
