"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.318,0.101,0.002,1.374
"2","age_group3 to 12 Years",0.016,0.097,0.87,1.016
"3","age_group13 to 18 Years",-0.223,0.131,0.088,0.8
"4","age_group65 to 84 Years",-0.095,0.041,0.019,0.91
"5","age_group85 and Over",-0.219,0.071,0.002,0.803
"6","genderm",0.264,0.038,0,1.302
"7","key_sourceblood",-0.128,0.083,0.122,0.88
"8","key_sourcegastro",0.014,0.126,0.911,1.014
"9","key_sourcerespiratory",-0.568,0.072,0,0.567
"10","key_sourceurine",-0.168,0.086,0.051,0.845
"11","key_sourcewound",-0.003,0.078,0.966,0.997
"12","year_scaled",-3.562,0.038,0,0.028
