"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.005,0.038,0.895,1.005
"2","age_group3 to 12 Years",0.048,0.061,0.436,1.049
"3","age_group13 to 18 Years",-0.048,0.073,0.512,0.953
"4","age_group65 to 84 Years",-0.027,0.019,0.149,0.973
"5","age_group85 and Over",-0.089,0.033,0.007,0.915
"6","genderm",0.116,0.018,0,1.123
"7","key_sourceblood",-0.563,0.031,0,0.57
"8","key_sourcegastro",-0.063,0.049,0.193,0.939
"9","key_sourcerespiratory",-0.128,0.03,0,0.88
"10","key_sourceurine",-0.067,0.031,0.031,0.935
"11","key_sourcewound",-0.019,0.035,0.581,0.981
"12","year_scaled",-0.375,0.003,0,0.687
