"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.058,0.022,0.01,1.059
"2","age_group3 to 12 Years",0.06,0.023,0.008,1.062
"3","age_group13 to 18 Years",0.035,0.028,0.208,1.036
"4","age_group65 to 84 Years",-0.016,0.011,0.157,0.984
"5","age_group85 and Over",0.028,0.019,0.151,1.028
"6","genderm",0.009,0.01,0.328,1.01
"7","key_sourceblood",0.268,0.019,0,1.307
"8","key_sourcegastro",0.381,0.027,0,1.463
"9","key_sourcerespiratory",-0.141,0.017,0,0.869
"10","key_sourceurine",-0.227,0.03,0,0.797
"11","key_sourcewound",-0.218,0.016,0,0.804
"12","year_scaled",-0.086,0.001,0,0.918
