"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.287,0.037,0,0.751
"2","age_group3 to 12 Years",-0.212,0.06,0,0.809
"3","age_group13 to 18 Years",-0.296,0.075,0,0.744
"4","age_group65 to 84 Years",-0.011,0.018,0.536,0.989
"5","age_group85 and Over",-0.18,0.033,0,0.835
"6","genderm",0.153,0.017,0,1.165
"7","key_sourceblood",0.08,0.033,0.017,1.083
"8","key_sourcegastro",0.131,0.047,0.005,1.14
"9","key_sourcerespiratory",0.121,0.03,0,1.129
"10","key_sourceurine",0.035,0.031,0.254,1.036
"11","key_sourcewound",0.086,0.034,0.012,1.09
"12","year_scaled",0.026,0.003,0,1.026
