"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.271,0.04,0,0.763
"2","age_group3 to 12 Years",-0.402,0.045,0,0.669
"3","age_group13 to 18 Years",-0.262,0.055,0,0.769
"4","age_group65 to 84 Years",0.017,0.017,0.32,1.017
"5","age_group85 and Over",-0.079,0.029,0.007,0.924
"6","genderm",0.165,0.016,0,1.18
"7","key_sourceblood",-0.044,0.027,0.102,0.957
"8","key_sourcegastro",-0.011,0.033,0.737,0.989
"9","key_sourcerespiratory",0.222,0.029,0,1.248
"10","key_sourceurine",0.214,0.024,0,1.238
"11","key_sourcewound",0.109,0.026,0,1.115
"12","year_scaled",0,0.003,0.98,1
