"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.113,0.036,0.002,1.12
"2","age_group3 to 12 Years",0.057,0.058,0.325,1.059
"3","age_group13 to 18 Years",-0.067,0.072,0.348,0.935
"4","age_group65 to 84 Years",-0.017,0.018,0.342,0.983
"5","age_group85 and Over",-0.169,0.032,0,0.844
"6","genderm",0.213,0.017,0,1.238
"7","key_sourceblood",0.18,0.032,0,1.197
"8","key_sourcegastro",0.089,0.045,0.049,1.094
"9","key_sourcerespiratory",0.092,0.029,0.002,1.097
"10","key_sourceurine",0.109,0.03,0,1.115
"11","key_sourcewound",0.233,0.033,0,1.262
"12","year_scaled",0.002,0.003,0.441,1.002
