"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.257,0.041,0,0.773
"2","age_group3 to 12 Years",-0.32,0.041,0,0.726
"3","age_group13 to 18 Years",-0.298,0.057,0,0.743
"4","age_group65 to 84 Years",-0.116,0.017,0,0.891
"5","age_group85 and Over",-0.285,0.03,0,0.752
"6","genderm",0.187,0.016,0,1.206
"7","key_sourceblood",0.01,0.035,0.781,1.01
"8","key_sourcegastro",0.096,0.05,0.055,1.101
"9","key_sourcerespiratory",0.094,0.028,0.001,1.099
"10","key_sourceurine",0.067,0.033,0.045,1.069
"11","key_sourcewound",-0.066,0.03,0.027,0.936
"12","year_scaled",-0.052,0.003,0,0.949
