"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.131,0.048,0.006,1.14
"2","age_group3 to 12 Years",-0.006,0.078,0.937,0.994
"3","age_group13 to 18 Years",-0.099,0.096,0.302,0.906
"4","age_group65 to 84 Years",-0.048,0.025,0.056,0.953
"5","age_group85 and Over",-0.272,0.045,0,0.762
"6","genderm",0.208,0.023,0,1.231
"7","key_sourceblood",0.114,0.045,0.011,1.12
"8","key_sourcegastro",0.161,0.069,0.02,1.175
"9","key_sourcerespiratory",0.049,0.044,0.263,1.05
"10","key_sourceurine",0.046,0.046,0.322,1.047
"11","key_sourcewound",0.175,0.051,0.001,1.191
"12","year_scaled",0.062,0.01,0,1.064
