"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.253,0.086,0.003,0.777
"2","age_group3 to 12 Years",-0.334,0.088,0,0.716
"3","age_group13 to 18 Years",-0.071,0.109,0.513,0.931
"4","age_group65 to 84 Years",0.069,0.036,0.054,1.071
"5","age_group85 and Over",0.009,0.064,0.886,1.009
"6","genderm",0.078,0.033,0.019,1.081
"7","key_sourceblood",-0.067,0.095,0.48,0.935
"8","key_sourcegastro",-0.089,0.06,0.137,0.915
"9","key_sourcerespiratory",0.224,0.055,0,1.251
"10","key_sourceurine",0.046,0.045,0.312,1.047
"11","key_sourcewound",-0.009,0.048,0.857,0.991
"12","year_scaled",-0.142,0.021,0,0.867
