"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.342,0.051,0,0.71
"2","age_group3 to 12 Years",-0.382,0.051,0,0.683
"3","age_group13 to 18 Years",-0.382,0.06,0,0.682
"4","age_group65 to 84 Years",0.326,0.024,0,1.385
"5","age_group85 and Over",0.489,0.042,0,1.631
"6","genderm",0.146,0.021,0,1.157
"7","key_sourceblood",-0.043,0.069,0.539,0.958
"8","key_sourcegastro",0.152,0.074,0.041,1.164
"9","key_sourcerespiratory",0.424,0.038,0,1.527
"10","key_sourceurine",0.073,0.06,0.227,1.076
"11","key_sourcewound",-0.043,0.034,0.217,0.958
"12","year_scaled",-0.026,0.013,0.05,0.974
