"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.212,0.036,0,1.236
"2","age_group3 to 12 Years",0.07,0.058,0.228,1.073
"3","age_group13 to 18 Years",0.054,0.072,0.453,1.055
"4","age_group65 to 84 Years",-0.017,0.018,0.351,0.983
"5","age_group85 and Over",-0.164,0.032,0,0.849
"6","genderm",0.212,0.017,0,1.236
"7","key_sourceblood",0.205,0.032,0,1.228
"8","key_sourcegastro",0.122,0.046,0.008,1.13
"9","key_sourcerespiratory",0.141,0.03,0,1.151
"10","key_sourceurine",0.161,0.031,0,1.175
"11","key_sourcewound",0.326,0.034,0,1.385
"12","year_scaled",-0.056,0.003,0,0.945
