"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.165,0.045,0,0.848
"2","age_group3 to 12 Years",-0.097,0.045,0.031,0.908
"3","age_group13 to 18 Years",-0.208,0.061,0.001,0.812
"4","age_group65 to 84 Years",-0.083,0.019,0,0.92
"5","age_group85 and Over",-0.104,0.033,0.001,0.901
"6","genderm",0.086,0.017,0,1.089
"7","key_sourceblood",0.126,0.038,0.001,1.134
"8","key_sourcegastro",0.064,0.055,0.251,1.066
"9","key_sourcerespiratory",0.089,0.031,0.004,1.094
"10","key_sourceurine",0.041,0.037,0.262,1.042
"11","key_sourcewound",0.069,0.033,0.037,1.071
"12","year_scaled",-0.697,0.005,0,0.498
