"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.228,0.028,0,0.796
"2","age_group3 to 12 Years",-0.325,0.029,0,0.723
"3","age_group13 to 18 Years",-0.263,0.036,0,0.768
"4","age_group65 to 84 Years",0.213,0.014,0,1.237
"5","age_group85 and Over",0.326,0.024,0,1.386
"6","genderm",0.08,0.012,0,1.083
"7","key_sourceblood",-0.054,0.027,0.048,0.948
"8","key_sourcegastro",0.069,0.045,0.12,1.072
"9","key_sourcerespiratory",0.282,0.024,0,1.326
"10","key_sourceurine",0.116,0.038,0.002,1.123
"11","key_sourcewound",-0.047,0.022,0.036,0.955
"12","year_scaled",-0.106,0.002,0,0.899
