"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.105,0.037,0.004,0.901
"2","age_group3 to 12 Years",-0.089,0.06,0.136,0.915
"3","age_group13 to 18 Years",-0.146,0.073,0.045,0.864
"4","age_group65 to 84 Years",-0.043,0.018,0.018,0.958
"5","age_group85 and Over",-0.223,0.033,0,0.8
"6","genderm",0.185,0.017,0,1.204
"7","key_sourceblood",0.11,0.033,0.001,1.116
"8","key_sourcegastro",0.117,0.047,0.012,1.124
"9","key_sourcerespiratory",0.128,0.03,0,1.136
"10","key_sourceurine",0.011,0.031,0.714,1.011
"11","key_sourcewound",0.131,0.034,0,1.14
"12","year_scaled",0.089,0.003,0,1.093
