"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.15,0.031,0,0.861
"2","age_group3 to 12 Years",-0.288,0.036,0,0.749
"3","age_group13 to 18 Years",-0.27,0.045,0,0.764
"4","age_group65 to 84 Years",0.008,0.014,0.562,1.008
"5","age_group85 and Over",-0.058,0.022,0.009,0.944
"6","genderm",0.134,0.013,0,1.144
"7","key_sourceblood",0.196,0.019,0,1.217
"8","key_sourcegastro",-0.11,0.026,0,0.896
"9","key_sourcerespiratory",0.13,0.023,0,1.139
"10","key_sourceurine",0.105,0.019,0,1.111
"11","key_sourcewound",-0.071,0.022,0.001,0.931
"12","year_scaled",-0.09,0.002,0,0.914
