"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.147,0.029,0,1.158
"2","age_group3 to 12 Years",0.045,0.047,0.342,1.046
"3","age_group13 to 18 Years",-0.016,0.056,0.777,0.984
"4","age_group65 to 84 Years",-0.027,0.014,0.062,0.973
"5","age_group85 and Over",-0.146,0.025,0,0.864
"6","genderm",0.199,0.013,0,1.22
"7","key_sourceblood",0.17,0.024,0,1.185
"8","key_sourcegastro",-0.05,0.036,0.159,0.951
"9","key_sourcerespiratory",0.006,0.022,0.786,1.006
"10","key_sourceurine",-0.007,0.023,0.749,0.993
"11","key_sourcewound",0.131,0.027,0,1.14
"12","year_scaled",-0.024,0.002,0,0.977
