"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.247,0.029,0,0.781
"2","age_group3 to 12 Years",-0.31,0.029,0,0.734
"3","age_group13 to 18 Years",-0.223,0.039,0,0.8
"4","age_group65 to 84 Years",-0.142,0.012,0,0.868
"5","age_group85 and Over",-0.291,0.022,0,0.747
"6","genderm",0.124,0.011,0,1.131
"7","key_sourceblood",0.121,0.022,0,1.128
"8","key_sourcegastro",0.108,0.034,0.002,1.114
"9","key_sourcerespiratory",0.232,0.018,0,1.261
"10","key_sourceurine",0.129,0.023,0,1.137
"11","key_sourcewound",-0.036,0.02,0.07,0.964
"12","year_scaled",-0.104,0.001,0,0.901
