"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.195,0.038,0,0.823
"2","age_group3 to 12 Years",-0.319,0.038,0,0.727
"3","age_group13 to 18 Years",-0.265,0.046,0,0.767
"4","age_group65 to 84 Years",0.288,0.019,0,1.334
"5","age_group85 and Over",0.562,0.033,0,1.754
"6","genderm",0.098,0.016,0,1.103
"7","key_sourceblood",-0.048,0.041,0.243,0.953
"8","key_sourcegastro",0.029,0.058,0.609,1.03
"9","key_sourcerespiratory",0.15,0.029,0,1.162
"10","key_sourceurine",0.176,0.049,0,1.192
"11","key_sourcewound",0.034,0.028,0.215,1.035
"12","year_scaled",-0.1,0.005,0,0.904
