"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.192,0.067,0.004,0.826
"2","age_group3 to 12 Years",-0.338,0.081,0,0.713
"3","age_group13 to 18 Years",-0.192,0.102,0.059,0.826
"4","age_group65 to 84 Years",0.031,0.031,0.318,1.032
"5","age_group85 and Over",-0.095,0.052,0.065,0.909
"6","genderm",0.209,0.029,0,1.233
"7","key_sourceblood",-0.09,0.047,0.054,0.914
"8","key_sourcegastro",0.019,0.065,0.769,1.019
"9","key_sourcerespiratory",0.128,0.056,0.022,1.137
"10","key_sourceurine",0.187,0.047,0,1.205
"11","key_sourcewound",0.144,0.052,0.006,1.155
"12","year_scaled",0.483,0.01,0,1.622
