"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.018,0.057,0.755,0.982
"2","age_group3 to 12 Years",-0.066,0.091,0.466,0.936
"3","age_group13 to 18 Years",-0.26,0.115,0.023,0.771
"4","age_group65 to 84 Years",-0.069,0.03,0.021,0.933
"5","age_group85 and Over",-0.306,0.053,0,0.736
"6","genderm",0.168,0.028,0,1.183
"7","key_sourceblood",0.144,0.054,0.007,1.155
"8","key_sourcegastro",0.286,0.084,0.001,1.331
"9","key_sourcerespiratory",0.105,0.052,0.044,1.111
"10","key_sourceurine",0.021,0.055,0.698,1.021
"11","key_sourcewound",0.149,0.06,0.013,1.161
"12","year_scaled",0.233,0.01,0,1.262
