"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.231,0.067,0.001,0.794
"2","age_group3 to 12 Years",-0.304,0.065,0,0.738
"3","age_group13 to 18 Years",-0.157,0.091,0.084,0.855
"4","age_group65 to 84 Years",-0.122,0.027,0,0.885
"5","age_group85 and Over",-0.299,0.048,0,0.742
"6","genderm",0.114,0.025,0,1.121
"7","key_sourceblood",0.061,0.056,0.272,1.063
"8","key_sourcegastro",0.112,0.087,0.195,1.119
"9","key_sourcerespiratory",0.217,0.048,0,1.242
"10","key_sourceurine",0.169,0.057,0.003,1.184
"11","key_sourcewound",-0.04,0.052,0.445,0.961
"12","year_scaled",0.298,0.009,0,1.347
