"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.243,0.045,0,0.784
"2","age_group3 to 12 Years",-0.213,0.043,0,0.808
"3","age_group13 to 18 Years",-0.163,0.056,0.004,0.849
"4","age_group65 to 84 Years",-0.088,0.018,0,0.916
"5","age_group85 and Over",-0.198,0.033,0,0.821
"6","genderm",0.078,0.017,0,1.081
"7","key_sourceblood",-0.004,0.031,0.897,0.996
"8","key_sourcegastro",-0.036,0.05,0.474,0.965
"9","key_sourcerespiratory",-0.154,0.025,0,0.857
"10","key_sourceurine",-0.184,0.032,0,0.832
"11","key_sourcewound",-0.153,0.028,0,0.858
"12","year_scaled",-0.226,0.002,0,0.798
