"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.134,0.05,0.007,0.874
"2","age_group3 to 12 Years",0.008,0.08,0.924,1.008
"3","age_group13 to 18 Years",-0.069,0.099,0.484,0.933
"4","age_group65 to 84 Years",-0.032,0.026,0.214,0.968
"5","age_group85 and Over",-0.211,0.046,0,0.809
"6","genderm",0.236,0.024,0,1.266
"7","key_sourceblood",0.122,0.046,0.008,1.13
"8","key_sourcegastro",0.133,0.071,0.061,1.142
"9","key_sourcerespiratory",0.031,0.045,0.489,1.032
"10","key_sourceurine",0.156,0.048,0.001,1.169
"11","key_sourcewound",0.204,0.053,0,1.226
"12","year_scaled",-0.293,0.011,0,0.746
