"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.304,0.049,0,0.738
"2","age_group3 to 12 Years",-0.348,0.049,0,0.706
"3","age_group13 to 18 Years",-0.083,0.066,0.211,0.921
"4","age_group65 to 84 Years",-0.139,0.021,0,0.871
"5","age_group85 and Over",-0.338,0.037,0,0.713
"6","genderm",0.126,0.019,0,1.134
"7","key_sourceblood",-0.103,0.042,0.015,0.902
"8","key_sourcegastro",-0.036,0.061,0.558,0.965
"9","key_sourcerespiratory",0.13,0.036,0,1.139
"10","key_sourceurine",0.158,0.043,0,1.171
"11","key_sourcewound",-0.086,0.04,0.03,0.918
"12","year_scaled",-0.161,0.009,0,0.851
