"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.291,0.031,0,0.748
"2","age_group3 to 12 Years",-0.336,0.031,0,0.715
"3","age_group13 to 18 Years",-0.201,0.039,0,0.818
"4","age_group65 to 84 Years",0.167,0.015,0,1.181
"5","age_group85 and Over",0.15,0.026,0,1.162
"6","genderm",0.05,0.013,0,1.051
"7","key_sourceblood",-0.048,0.029,0.101,0.953
"8","key_sourcegastro",0.153,0.048,0.002,1.165
"9","key_sourcerespiratory",0.339,0.025,0,1.403
"10","key_sourceurine",0.081,0.042,0.056,1.084
"11","key_sourcewound",-0.022,0.024,0.358,0.978
"12","year_scaled",-0.075,0.002,0,0.928
