"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.038,0.031,0.214,0.963
"2","age_group3 to 12 Years",-0.042,0.031,0.185,0.959
"3","age_group13 to 18 Years",-0.063,0.039,0.104,0.939
"4","age_group65 to 84 Years",-0.046,0.015,0.002,0.955
"5","age_group85 and Over",-0.091,0.026,0,0.913
"6","genderm",0.004,0.013,0.784,1.004
"7","key_sourceblood",0.16,0.029,0,1.174
"8","key_sourcegastro",0.182,0.048,0,1.2
"9","key_sourcerespiratory",0.154,0.025,0,1.167
"10","key_sourceurine",-0.023,0.042,0.578,0.977
"11","key_sourcewound",0.114,0.024,0,1.121
"12","year_scaled",-0.338,0.003,0,0.713
