"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.271,0.057,0,0.763
"2","age_group3 to 12 Years",-0.103,0.092,0.267,0.902
"3","age_group13 to 18 Years",-0.087,0.114,0.445,0.917
"4","age_group65 to 84 Years",-0.026,0.027,0.341,0.974
"5","age_group85 and Over",-0.044,0.047,0.349,0.957
"6","genderm",0.075,0.025,0.003,1.078
"7","key_sourceblood",0.089,0.058,0.123,1.093
"8","key_sourcegastro",-0.023,0.066,0.731,0.978
"9","key_sourcerespiratory",0.05,0.042,0.232,1.051
"10","key_sourceurine",0.053,0.043,0.213,1.054
"11","key_sourcewound",0.058,0.047,0.217,1.06
"12","year_scaled",0,0.008,0.991,1
