"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.326,0.034,0,0.722
"2","age_group3 to 12 Years",-0.38,0.035,0,0.684
"3","age_group13 to 18 Years",-0.325,0.042,0,0.723
"4","age_group65 to 84 Years",0.34,0.017,0,1.406
"5","age_group85 and Over",0.52,0.029,0,1.682
"6","genderm",0.115,0.015,0,1.122
"7","key_sourceblood",0.099,0.038,0.009,1.104
"8","key_sourcegastro",0.141,0.053,0.008,1.152
"9","key_sourcerespiratory",0.35,0.027,0,1.42
"10","key_sourceurine",0.176,0.043,0,1.193
"11","key_sourcewound",-0.003,0.025,0.896,0.997
"12","year_scaled",-0.145,0.005,0,0.865
