"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.118,0.057,0.038,0.889
"2","age_group3 to 12 Years",-0.149,0.06,0.014,0.862
"3","age_group13 to 18 Years",-0.073,0.077,0.343,0.93
"4","age_group65 to 84 Years",0.211,0.037,0,1.235
"5","age_group85 and Over",0.126,0.075,0.093,1.134
"6","genderm",0.024,0.031,0.445,1.024
"7","key_sourceblood",0.014,0.054,0.799,1.014
"8","key_sourcegastro",0.352,0.384,0.359,1.422
"9","key_sourcerespiratory",0.117,0.048,0.016,1.124
"10","key_sourceurine",0.133,0.184,0.471,1.142
"11","key_sourcewound",0.043,0.045,0.336,1.044
"12","year_scaled",0.013,0.007,0.072,1.013
