"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.144,0.028,0,0.866
"2","age_group3 to 12 Years",-0.24,0.028,0,0.787
"3","age_group13 to 18 Years",-0.129,0.035,0,0.879
"4","age_group65 to 84 Years",0.159,0.014,0,1.172
"5","age_group85 and Over",0.227,0.024,0,1.254
"6","genderm",0.04,0.012,0.001,1.041
"7","key_sourceblood",0.019,0.027,0.475,1.019
"8","key_sourcegastro",0.168,0.043,0,1.183
"9","key_sourcerespiratory",0.389,0.023,0,1.475
"10","key_sourceurine",0.037,0.038,0.331,1.038
"11","key_sourcewound",0.033,0.022,0.13,1.034
"12","year_scaled",-0.053,0.002,0,0.948
