"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.016,0.042,0.713,1.016
"2","age_group3 to 12 Years",-0.101,0.047,0.03,0.904
"3","age_group13 to 18 Years",-0.026,0.061,0.668,0.974
"4","age_group65 to 84 Years",-0.047,0.02,0.018,0.954
"5","age_group85 and Over",-0.093,0.033,0.004,0.912
"6","genderm",0.068,0.018,0,1.07
"7","key_sourceblood",-0.044,0.027,0.106,0.957
"8","key_sourcegastro",-0.113,0.041,0.006,0.893
"9","key_sourcerespiratory",0.031,0.034,0.356,1.032
"10","key_sourceurine",0.053,0.028,0.058,1.054
"11","key_sourcewound",0.038,0.034,0.257,1.039
"12","year_scaled",-0.061,0.006,0,0.94
