"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.263,0.042,0,1.3
"2","age_group3 to 12 Years",0.003,0.068,0.96,1.003
"3","age_group13 to 18 Years",-0.047,0.083,0.569,0.954
"4","age_group65 to 84 Years",-0.071,0.022,0.001,0.931
"5","age_group85 and Over",-0.262,0.04,0,0.769
"6","genderm",0.172,0.02,0,1.188
"7","key_sourceblood",0.226,0.036,0,1.254
"8","key_sourcegastro",0.096,0.056,0.086,1.101
"9","key_sourcerespiratory",0.095,0.035,0.007,1.1
"10","key_sourceurine",0.133,0.038,0,1.142
"11","key_sourcewound",0.22,0.043,0,1.246
"12","year_scaled",-0.029,0.007,0,0.972
