"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.014,0.026,0.595,1.014
"2","age_group3 to 12 Years",-0.041,0.027,0.139,0.96
"3","age_group13 to 18 Years",-0.018,0.035,0.604,0.982
"4","age_group65 to 84 Years",0.027,0.015,0.063,1.027
"5","age_group85 and Over",-0.04,0.026,0.13,0.961
"6","genderm",0.009,0.013,0.451,1.009
"7","key_sourceblood",0.149,0.024,0,1.161
"8","key_sourcegastro",-0.047,0.051,0.35,0.954
"9","key_sourcerespiratory",0.094,0.023,0,1.098
"10","key_sourceurine",-0.044,0.044,0.316,0.957
"11","key_sourcewound",-0.085,0.021,0,0.918
"12","year_scaled",0.022,0.003,0,1.022
