"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.053,0.035,0.128,0.949
"2","age_group3 to 12 Years",-0.202,0.039,0,0.817
"3","age_group13 to 18 Years",-0.105,0.049,0.032,0.901
"4","age_group65 to 84 Years",-0.043,0.016,0.006,0.958
"5","age_group85 and Over",-0.072,0.026,0.006,0.93
"6","genderm",0.108,0.015,0,1.114
"7","key_sourceblood",0.162,0.022,0,1.175
"8","key_sourcegastro",0.248,0.032,0,1.282
"9","key_sourcerespiratory",0.203,0.026,0,1.225
"10","key_sourceurine",0.26,0.021,0,1.296
"11","key_sourcewound",0.156,0.024,0,1.169
"12","year_scaled",-0.046,0.002,0,0.955
