"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.276,0.033,0,0.759
"2","age_group3 to 12 Years",-0.264,0.053,0,0.768
"3","age_group13 to 18 Years",-0.224,0.065,0.001,0.799
"4","age_group65 to 84 Years",-0.079,0.017,0,0.924
"5","age_group85 and Over",-0.131,0.029,0,0.877
"6","genderm",0.096,0.015,0,1.101
"7","key_sourceblood",0.284,0.028,0,1.328
"8","key_sourcegastro",0.277,0.043,0,1.319
"9","key_sourcerespiratory",0.247,0.026,0,1.281
"10","key_sourceurine",0.194,0.027,0,1.214
"11","key_sourcewound",0.185,0.03,0,1.203
"12","year_scaled",0.023,0.002,0,1.023
