"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.243,0.035,0,0.784
"2","age_group3 to 12 Years",-0.368,0.035,0,0.692
"3","age_group13 to 18 Years",-0.301,0.047,0,0.74
"4","age_group65 to 84 Years",-0.184,0.015,0,0.832
"5","age_group85 and Over",-0.313,0.026,0,0.731
"6","genderm",0.135,0.014,0,1.145
"7","key_sourceblood",0.055,0.03,0.062,1.057
"8","key_sourcegastro",0.3,0.044,0,1.35
"9","key_sourcerespiratory",0.184,0.024,0,1.202
"10","key_sourceurine",0.179,0.029,0,1.195
"11","key_sourcewound",-0.03,0.026,0.244,0.971
"12","year_scaled",0.062,0.002,0,1.064
