"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.405,0.024,0,0.667
"2","age_group3 to 12 Years",-0.251,0.039,0,0.778
"3","age_group13 to 18 Years",-0.257,0.047,0,0.773
"4","age_group65 to 84 Years",-0.016,0.013,0.216,0.985
"5","age_group85 and Over",-0.106,0.022,0,0.9
"6","genderm",0.246,0.012,0,1.28
"7","key_sourceblood",0.086,0.02,0,1.09
"8","key_sourcegastro",0.018,0.032,0.57,1.018
"9","key_sourcerespiratory",0.035,0.019,0.07,1.035
"10","key_sourceurine",0.102,0.02,0,1.107
"11","key_sourcewound",0.155,0.023,0,1.168
"12","year_scaled",0.098,0.001,0,1.102
