"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.704,0.03,0,0.494
"2","age_group3 to 12 Years",-0.522,0.029,0,0.594
"3","age_group13 to 18 Years",-0.288,0.038,0,0.75
"4","age_group65 to 84 Years",-0.143,0.013,0,0.867
"5","age_group85 and Over",-0.307,0.023,0,0.736
"6","genderm",0.127,0.012,0,1.136
"7","key_sourceblood",-0.044,0.023,0.054,0.957
"8","key_sourcegastro",0.012,0.036,0.73,1.012
"9","key_sourcerespiratory",0.171,0.018,0,1.187
"10","key_sourceurine",0.21,0.023,0,1.234
"11","key_sourcewound",-0.051,0.02,0.012,0.951
"12","year_scaled",-0.041,0.001,0,0.959
