"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.452,0.02,0,0.636
"2","age_group3 to 12 Years",-0.484,0.02,0,0.616
"3","age_group13 to 18 Years",-0.389,0.025,0,0.678
"4","age_group65 to 84 Years",0.391,0.01,0,1.478
"5","age_group85 and Over",0.708,0.019,0,2.03
"6","genderm",0.057,0.009,0,1.059
"7","key_sourceblood",-0.028,0.017,0.098,0.972
"8","key_sourcegastro",-0.116,0.026,0,0.891
"9","key_sourcerespiratory",0.288,0.015,0,1.334
"10","key_sourceurine",0.528,0.029,0,1.695
"11","key_sourcewound",0.058,0.014,0,1.06
"12","year_scaled",-0.018,0.001,0,0.982
