"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.003,0.071,0.963,0.997
"2","age_group3 to 12 Years",-0.365,0.069,0,0.694
"3","age_group13 to 18 Years",-0.058,0.093,0.528,0.943
"4","age_group65 to 84 Years",-0.19,0.029,0,0.827
"5","age_group85 and Over",-0.296,0.051,0,0.743
"6","genderm",0.171,0.027,0,1.187
"7","key_sourceblood",-0.013,0.058,0.825,0.987
"8","key_sourcegastro",0.277,0.091,0.002,1.319
"9","key_sourcerespiratory",0.131,0.05,0.009,1.14
"10","key_sourceurine",0.033,0.06,0.582,1.034
"11","key_sourcewound",-0.114,0.054,0.035,0.892
"12","year_scaled",0.016,0.026,0.529,1.017
