"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.059,0.033,0.074,1.061
"2","age_group3 to 12 Years",-0.03,0.037,0.414,0.97
"3","age_group13 to 18 Years",-0.009,0.048,0.847,0.991
"4","age_group65 to 84 Years",-0.039,0.015,0.009,0.962
"5","age_group85 and Over",-0.026,0.024,0.286,0.974
"6","genderm",0.019,0.014,0.156,1.019
"7","key_sourceblood",0.903,0.021,0,2.468
"8","key_sourcegastro",-0.355,0.027,0,0.702
"9","key_sourcerespiratory",-0.115,0.024,0,0.892
"10","key_sourceurine",0.022,0.02,0.275,1.023
"11","key_sourcewound",-0.195,0.023,0,0.823
"12","year_scaled",-0.051,0.002,0,0.951
