"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.233,0.029,0,0.792
"2","age_group3 to 12 Years",-0.061,0.048,0.202,0.941
"3","age_group13 to 18 Years",-0.086,0.057,0.13,0.918
"4","age_group65 to 84 Years",-0.072,0.015,0,0.93
"5","age_group85 and Over",-0.209,0.026,0,0.812
"6","genderm",0.12,0.014,0,1.128
"7","key_sourceblood",0.256,0.024,0,1.292
"8","key_sourcegastro",-0.3,0.039,0,0.741
"9","key_sourcerespiratory",-0.183,0.023,0,0.833
"10","key_sourceurine",-0.22,0.024,0,0.802
"11","key_sourcewound",-0.169,0.028,0,0.844
"12","year_scaled",0.005,0.002,0.001,1.005
