"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.259,0.03,0,0.772
"2","age_group3 to 12 Years",-0.384,0.03,0,0.681
"3","age_group13 to 18 Years",-0.222,0.04,0,0.801
"4","age_group65 to 84 Years",-0.191,0.013,0,0.826
"5","age_group85 and Over",-0.388,0.022,0,0.678
"6","genderm",0.156,0.012,0,1.169
"7","key_sourceblood",0.043,0.023,0.063,1.044
"8","key_sourcegastro",0.067,0.035,0.055,1.07
"9","key_sourcerespiratory",0.121,0.019,0,1.128
"10","key_sourceurine",0.008,0.023,0.718,1.008
"11","key_sourcewound",-0.15,0.021,0,0.861
"12","year_scaled",-0.037,0.001,0,0.964
