"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.308,0.036,0,0.735
"2","age_group3 to 12 Years",-0.225,0.04,0,0.799
"3","age_group13 to 18 Years",-0.214,0.053,0,0.807
"4","age_group65 to 84 Years",-0.031,0.016,0.059,0.97
"5","age_group85 and Over",-0.128,0.026,0,0.88
"6","genderm",0.186,0.015,0,1.204
"7","key_sourceblood",-0.059,0.021,0.005,0.943
"8","key_sourcegastro",-0.028,0.036,0.439,0.972
"9","key_sourcerespiratory",0.069,0.028,0.013,1.072
"10","key_sourceurine",0.078,0.022,0.001,1.081
"11","key_sourcewound",0.058,0.027,0.034,1.06
"12","year_scaled",-0.068,0.002,0,0.935
