"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.202,0.056,0,0.817
"2","age_group3 to 12 Years",-0.104,0.055,0.059,0.901
"3","age_group13 to 18 Years",-0.097,0.071,0.171,0.908
"4","age_group65 to 84 Years",-0.089,0.024,0,0.915
"5","age_group85 and Over",-0.24,0.043,0,0.787
"6","genderm",0.099,0.022,0,1.104
"7","key_sourceblood",-0.138,0.038,0,0.871
"8","key_sourcegastro",-0.051,0.065,0.428,0.95
"9","key_sourcerespiratory",-0.084,0.031,0.007,0.92
"10","key_sourceurine",0.112,0.044,0.012,1.118
"11","key_sourcewound",-0.064,0.036,0.079,0.938
"12","year_scaled",-0.027,0.003,0,0.974
