"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.256,0.027,0,0.774
"2","age_group3 to 12 Years",-0.223,0.027,0,0.8
"3","age_group13 to 18 Years",-0.057,0.033,0.085,0.945
"4","age_group65 to 84 Years",0.074,0.013,0,1.077
"5","age_group85 and Over",0.061,0.023,0.009,1.063
"6","genderm",0.042,0.012,0,1.042
"7","key_sourceblood",0.158,0.021,0,1.172
"8","key_sourcegastro",0.332,0.028,0,1.393
"9","key_sourcerespiratory",-0.003,0.019,0.877,0.997
"10","key_sourceurine",-0.261,0.036,0,0.77
"11","key_sourcewound",-0.377,0.017,0,0.686
"12","year_scaled",-0.258,0.002,0,0.772
