"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.608,0.035,0,0.545
"2","age_group3 to 12 Years",-0.678,0.036,0,0.508
"3","age_group13 to 18 Years",-0.511,0.042,0,0.6
"4","age_group65 to 84 Years",0.579,0.017,0,1.784
"5","age_group85 and Over",0.968,0.03,0,2.632
"6","genderm",0.117,0.015,0,1.124
"7","key_sourceblood",0.13,0.039,0.001,1.139
"8","key_sourcegastro",0.146,0.053,0.006,1.157
"9","key_sourcerespiratory",0.435,0.027,0,1.546
"10","key_sourceurine",0.578,0.044,0,1.782
"11","key_sourcewound",-0.027,0.025,0.294,0.974
"12","year_scaled",0.006,0.005,0.165,1.006
