"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.242,0.081,0.003,0.785
"2","age_group3 to 12 Years",-0.247,0.08,0.002,0.781
"3","age_group13 to 18 Years",-0.206,0.107,0.054,0.814
"4","age_group65 to 84 Years",0.123,0.039,0.002,1.13
"5","age_group85 and Over",0.147,0.061,0.016,1.159
"6","genderm",0.204,0.036,0,1.226
"7","key_sourceblood",0.152,0.056,0.007,1.164
"8","key_sourcegastro",-0.039,0.149,0.793,0.962
"9","key_sourcerespiratory",0.323,0.067,0,1.381
"10","key_sourceurine",0.2,0.057,0,1.221
"11","key_sourcewound",0.275,0.065,0,1.316
"12","year_scaled",-0.074,0.011,0,0.929
