"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.061,0.027,0.026,0.941
"2","age_group3 to 12 Years",-0.163,0.028,0,0.849
"3","age_group13 to 18 Years",-0.158,0.034,0,0.854
"4","age_group65 to 84 Years",0.137,0.014,0,1.147
"5","age_group85 and Over",0.344,0.024,0,1.411
"6","genderm",0.05,0.012,0,1.051
"7","key_sourceblood",-0.14,0.026,0,0.869
"8","key_sourcegastro",-0.038,0.043,0.377,0.963
"9","key_sourcerespiratory",0.075,0.023,0.001,1.078
"10","key_sourceurine",0.181,0.037,0,1.199
"11","key_sourcewound",0.006,0.021,0.766,1.006
"12","year_scaled",-0.118,0.002,0,0.889
