"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.016,0.041,0.698,0.984
"2","age_group3 to 12 Years",-0.018,0.041,0.662,0.982
"3","age_group13 to 18 Years",-0.052,0.05,0.297,0.95
"4","age_group65 to 84 Years",0.039,0.021,0.064,1.039
"5","age_group85 and Over",0.14,0.038,0,1.15
"6","genderm",0.041,0.018,0.024,1.041
"7","key_sourceblood",-0.035,0.028,0.204,0.966
"8","key_sourcegastro",0.219,0.037,0,1.245
"9","key_sourcerespiratory",0.072,0.028,0.011,1.075
"10","key_sourceurine",-0.045,0.059,0.444,0.956
"11","key_sourcewound",0.048,0.026,0.065,1.049
"12","year_scaled",-0.05,0.002,0,0.951
