"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.241,0.025,0,0.786
"2","age_group3 to 12 Years",-0.203,0.028,0,0.817
"3","age_group13 to 18 Years",-0.209,0.036,0,0.812
"4","age_group65 to 84 Years",0.032,0.012,0.005,1.033
"5","age_group85 and Over",-0.027,0.019,0.145,0.973
"6","genderm",0.193,0.011,0,1.213
"7","key_sourceblood",-0.206,0.016,0,0.814
"8","key_sourcegastro",0.133,0.023,0,1.142
"9","key_sourcerespiratory",0.284,0.019,0,1.328
"10","key_sourceurine",0.093,0.016,0,1.097
"11","key_sourcewound",0.061,0.018,0.001,1.063
"12","year_scaled",0.072,0.001,0,1.075
