"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.064,0.024,0.008,0.938
"2","age_group3 to 12 Years",-0.041,0.039,0.295,0.96
"3","age_group13 to 18 Years",-0.21,0.047,0,0.81
"4","age_group65 to 84 Years",-0.045,0.012,0,0.956
"5","age_group85 and Over",-0.223,0.022,0,0.8
"6","genderm",0.217,0.012,0,1.242
"7","key_sourceblood",-0.06,0.02,0.003,0.942
"8","key_sourcegastro",0.082,0.031,0.009,1.085
"9","key_sourcerespiratory",0.064,0.019,0.001,1.066
"10","key_sourceurine",-0.029,0.02,0.136,0.971
"11","key_sourcewound",0.117,0.023,0,1.124
"12","year_scaled",0.068,0.001,0,1.071
