"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.329,0.028,0,0.72
"2","age_group3 to 12 Years",-0.417,0.028,0,0.659
"3","age_group13 to 18 Years",-0.382,0.038,0,0.682
"4","age_group65 to 84 Years",-0.143,0.012,0,0.867
"5","age_group85 and Over",-0.317,0.022,0,0.728
"6","genderm",0.158,0.011,0,1.171
"7","key_sourceblood",0.006,0.022,0.778,1.006
"8","key_sourcegastro",0.128,0.034,0,1.136
"9","key_sourcerespiratory",0.162,0.018,0,1.176
"10","key_sourceurine",0.142,0.022,0,1.153
"11","key_sourcewound",-0.029,0.02,0.14,0.972
"12","year_scaled",0.013,0.001,0,1.013
