"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.254,0.024,0,0.776
"2","age_group3 to 12 Years",-0.283,0.025,0,0.754
"3","age_group13 to 18 Years",-0.254,0.03,0,0.775
"4","age_group65 to 84 Years",0.22,0.013,0,1.246
"5","age_group85 and Over",0.4,0.022,0,1.492
"6","genderm",0.085,0.011,0,1.089
"7","key_sourceblood",-0.122,0.02,0,0.885
"8","key_sourcegastro",0.087,0.027,0.002,1.091
"9","key_sourcerespiratory",0.434,0.018,0,1.544
"10","key_sourceurine",0.405,0.033,0,1.5
"11","key_sourcewound",0.354,0.016,0,1.424
"12","year_scaled",0.04,0.002,0,1.041
