"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.105,0.03,0,0.901
"2","age_group3 to 12 Years",-0.084,0.03,0.006,0.919
"3","age_group13 to 18 Years",-0.074,0.037,0.048,0.929
"4","age_group65 to 84 Years",-0.034,0.015,0.02,0.966
"5","age_group85 and Over",-0.073,0.026,0.005,0.93
"6","genderm",0.008,0.013,0.515,1.008
"7","key_sourceblood",0.055,0.029,0.056,1.056
"8","key_sourcegastro",0.167,0.047,0,1.182
"9","key_sourcerespiratory",0.218,0.025,0,1.244
"10","key_sourceurine",-0.133,0.041,0.001,0.876
"11","key_sourcewound",-0.011,0.023,0.631,0.989
"12","year_scaled",-0.155,0.002,0,0.857
