"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.167,0.077,0.029,0.846
"2","age_group3 to 12 Years",-0.302,0.076,0,0.739
"3","age_group13 to 18 Years",-0.235,0.101,0.021,0.791
"4","age_group65 to 84 Years",0.051,0.037,0.175,1.052
"5","age_group85 and Over",-0.08,0.059,0.179,0.923
"6","genderm",0.211,0.035,0,1.234
"7","key_sourceblood",0.135,0.054,0.012,1.145
"8","key_sourcegastro",-0.168,0.139,0.228,0.846
"9","key_sourcerespiratory",0.242,0.065,0,1.274
"10","key_sourceurine",0.109,0.055,0.048,1.115
"11","key_sourcewound",0.163,0.063,0.009,1.178
"12","year_scaled",-0.101,0.011,0,0.904
