"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.137,0.087,0.115,0.872
"2","age_group3 to 12 Years",-0.283,0.094,0.002,0.753
"3","age_group13 to 18 Years",-0.253,0.121,0.036,0.776
"4","age_group65 to 84 Years",0.043,0.058,0.454,1.044
"5","age_group85 and Over",-0.46,0.128,0,0.631
"6","genderm",-0.063,0.048,0.186,0.939
"7","key_sourceblood",0.195,0.084,0.02,1.216
"8","key_sourcegastro",-0.083,0.655,0.899,0.92
"9","key_sourcerespiratory",0.149,0.073,0.04,1.161
"10","key_sourceurine",-0.456,0.325,0.162,0.634
"11","key_sourcewound",0.108,0.067,0.106,1.114
"12","year_scaled",0.193,0.011,0,1.213
