"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.249,0.027,0,0.78
"2","age_group3 to 12 Years",-0.126,0.03,0,0.882
"3","age_group13 to 18 Years",-0.054,0.039,0.167,0.947
"4","age_group65 to 84 Years",0.029,0.012,0.018,1.029
"5","age_group85 and Over",-0.03,0.02,0.13,0.97
"6","genderm",0.125,0.011,0,1.133
"7","key_sourceblood",-0.258,0.017,0,0.773
"8","key_sourcegastro",0.05,0.025,0.046,1.051
"9","key_sourcerespiratory",0.048,0.021,0.019,1.049
"10","key_sourceurine",0.035,0.017,0.037,1.035
"11","key_sourcewound",0.06,0.019,0.002,1.062
"12","year_scaled",-0.019,0.001,0,0.981
